Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Criterion,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,CFDE80N1AW,8.0,240.0,,Yes,3.93,Normal,Medium,Normal Dry +Eco Dry,,No,No
Fulgor Milano,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",FM4CD24W1,FM4CD24W1,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,MH04ED80/W-PR,8.0,240.0,,Yes,3.73,Normal,Medium,Normal dry,,No,No
GE Profile,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_R,PTD60EB*R***,7.4,240.0,,Yes,3.93,Normal Cottons,Hot,Dry,ecoDry is default ON for Normal Cottons,No,No
GE Profile,Vented Gas,M74G_4_R,PTD60GB*R***,7.4,,22000.0,Yes,3.48,Normal Cottons,Hot,Dry,ecoDry is default ON for Normal Cottons,No,No
Whirlpool,Vented Gas,A22JAI8AI1,WGD6605M**,7.4,,20142.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A22JAI8AI1,WGD5605M**,7.4,,20142.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A22JAI8AG1,WED6605M**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG10,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG10,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
ELEMENT,Vented Gas,MDH210-VG022/B01EQHS-US,EFD8027GBW,8.0,,20000.0,Yes,3.48,Normal,Medium,Normal Dry,ECO Dry,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,EFD8027EBW,8.0,240.0,,Yes,3.93,Normal,Medium,Normal Dry,,No,No
Criterion,Vented Gas,MDH210-VG022/B01EQHS-US,CFDG80N1AW,8.0,,20000.0,Yes,3.48,Normal,Medium,Normal Dry,ECO Dry,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_V,GUD27EE*V***,6.0,240.0,,Yes,3.93,Cottons Medium Dry,N/A,Medium Dry,E-Dry is default on for the Cottons cycle,No,No
Samsung,Vented Gas,DVG54CG755**,DVG54CG755**,7.4,,20000.0,Yes,3.48,Normal,Medium (Unselectable),Normal,Eco dry,No,No
Samsung,Vented Gas,DVG55CG75***,DVG55CG75***,7.4,,20000.0,Yes,3.48,Normal,Medium (Unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55A77***,DVE55A77***,7.4,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50A86***,DVE50A86***,7.5,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),Normal,Eco dry,No,No
Midea,Vented Gas,MDH210-VG042/B01EHS-US,MLG45N1AWW,8.0,,20000.0,Yes,3.48,Normal,Medium,Normal Dry,Eco Dry,No,No
Crosley,Vented Gas,M74G_4_NB+1,YTD74G2*N***,7.4,,22000.0,Yes,3.48,Cottons,High,Dry,eDry is default ON for Cottons,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE7,ATEE9***178T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDE6H***178C***,6.9,240.0,,Yes,3.73,Regular,Medium,n/a,,No,No
Equator Advacned Appliances,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",CD 4040 B,CD 4040 B,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
Equator Advacned Appliances,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",CD 4040 W,CD 4040 W,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
LG,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",WKHC142H*A,WKHC142H*A,4.2,240.0,,Yes,6.4,Normal,None,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG14,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG14,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG8,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Blomberg,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DHP24412W,DHP24412W,4.1,240.0,,Yes,5.7,Normal Regular Dry,No,No,No,No,No
Blomberg,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV17600W,DV17600W,3.8,240.0,,Yes,3.27,Normal Regular Dry,No,No,No,No,No
Beko,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",BDV7200X,BDV7200X,3.8,240.0,,Yes,3.27,Normal Regular Dry,No,No,No,No,No
KOOLMORE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,FLD-8CWH,8.0,240.0,,Yes,3.93,Normal,Medium,Normal Dry,,No,No
ELEMENT,Vented Gas,MDH200-VG012/A01HS-US,ETD7527GBW,7.5,,20000.0,Yes,3.48,Normal,Medium,Normal Dry,,No,No
LG,Vented Gas,DLGX3901*,SWWG50*3,7.4,,20000.0,Yes,3.49,Normal,Medium High,Normal,,No,No
Asko,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",T208H.W.U,T208H.W.U,3.8,240.0,,Yes,3.0,Auto normal,NA,Medium,,No,No
Asko,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",T208C.W.U,T208C.W.U,3.8,240.0,,Yes,2.6,Auto normal,NA,Medium,,No,No
Asko,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",T208V.W.U,T208V.W.U,3.8,240.0,,Yes,3.3,Auto normal,NA,Medium,,No,No
Asko,"Ventless Electric, Combination Washer-Dryer",T411HS.W.U,T411HS.W.U,4.9,240.0,,Yes,9.1,Auto normal,NA,Medium,,No,No
Asko,"Vented Electric, Standard (4.4 ft3 or greater capacity)",T411.VD.W.U,T411.VD.W.U,4.9,240.0,,Yes,3.8,Auto normal,NA,Medium,,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55CG7105*,DVE55CG7105*,7.4,240.0,,Yes,3.93,Normal,Medium (Unselectable),Normal,Eco dry,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX6500*,7.4,240.0,,Yes,3.94,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLE3470*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLE6100*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE8,ADE6H***177T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE8,ZDE6H***177T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
hOme,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",HME030486N,HME030486N,3.2,120.0,,Yes,3.67,MIX,NONE,NONE,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",79142,7914*,7.4,240.0,,Yes,3.93,Normal program with Eco setting,None,None,https://www.kenmore.com/energyguide,No,No
Kenmore,Vented Gas,69142,6914*,7.4,,17500.0,Yes,3.5,Normal program with Eco,None,None,https://www.kenmore.com/energyguide,No,No
Crosley,Vented Gas,M74G_4_NB+,YTD74G2*N***,7.4,,22000.0,Yes,3.48,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_NB,YTD74E2*N***,7.4,240.0,,Yes,3.93,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
Haier,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",H41E_5_N,QFT15ES*N***,4.1,240.0,,Yes,2.68,Cottons,High,Dry,eDry is default on for the Cottons cycle,No,No
Haier,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",H43E_3_NA,QFD15ES*N***,4.3,240.0,,Yes,3.45,Cottons,High,Dry,eDry is default on for the Cottons cycle,No,No
GE Profile,Vented Gas,M73G_4_T,PTD90GB*T***,7.3,,22000.0,Yes,3.48,Normal Cottons,Hot,Dry,ecoDry is default ON for the Normal Cottons,No,No
GE Profile,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M73E_1_T,PTD90EB*T***,7.3,240.0,,Yes,3.93,Normal Cottons,Hot,Dry,ecoDry is default ON for the Normal Cottons,No,No
GE Profile,Vented Gas,M74G_4_T,PTD70GB*T***,7.4,,22000.0,Yes,3.48,Normal Cottons,Hot,Dry,ecoDry is default ON for the Normal Cottons,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_R,PTD60EB*R***,7.4,240.0,,Yes,3.93,Normal Cottons,Hot,Dry,ecoDry is default ON for Normal Cottons,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_N,GUD27EE*N***,6.0,240.0,,Yes,3.93,Cottons Medium Dry,N/A,Medium Dry,eDry is default on for the Cottons cycle,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_N,GTD72EB*N***,7.4,240.0,,Yes,3.93,Cottons Normal,Low,Dry,ecoDry is default ON for Cottons Normal,No,No
GE,Vented Gas,GTD65GBSJ0WS,GTD65GB*L***,7.4,,22000.0,Yes,3.48,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
GE,Vented Gas,GTD65GBSJ0WS,GTD65GB*J***,7.4,,22000.0,Yes,3.48,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD65EBSJ0WS,GTD65EB*J***,7.4,240.0,,Yes,3.93,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",G78E_1_NB+,GFV55ES*N***,7.8,240.0,,Yes,3.93,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_T1,GFD85GS*N***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_T,GFD65GS*N***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_N,GFD85GS*N***,7.8,,16000.0,Yes,3.48,Cottons,Low,Dry,ecoDry is default ON for Cottons,No,No
GE,Vented Gas,G78G_4_N,GFD65GS*N***,7.8,,16000.0,Yes,3.48,Cottons,Low,Dry,ecoDry is default ON for Cottons,No,No
GE,Vented Gas,G78G_4_NA+1,GFD55GS*N***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_NA,GFD55GS*R***,7.8,,16000.0,Yes,3.48,Cottons,Low,Dry,ecoDry is default ON for Cottons cycle,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",G78E_1_NA+,GFD55ES*N***,7.8,240.0,,Yes,3.93,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,M70G_4_M,GFD40GSCM***,7.0,,22000.0,Yes,3.48,Cottons,Extra Low,Dry,eDry is default ON for Cottons,No,No
Bosch,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",WTG865H3UC,WTG865H4UC,4.0,240.0,,Yes,2.68,Cotton,None,Dry,,No,No
Bosch,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",WTG86403UC,WTG86403UC,4.0,240.0,,Yes,2.68,Cotton Dry,None,Dry Level (+2),,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV48J777*E*,DV48J777*E*,7.4,240.0,,Yes,3.94,75 min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV52J870*G*,DV52J870*G*,7.4,,22000.0,Yes,3.49,75 min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45K76**E*,DV45K76**E*,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV50K75**G*,DV50K75**G*,7.5,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG45M55***,DVG45M55***,7.5,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE52M86***,DVE52M86***,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE52M77***,DVE52M77***,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
SAMSUNG,Vented Gas,DV45K71**G*,DV45K71**G*,7.4,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV22N685*H*,DV22N685*H*,4.0,240.0,,Yes,5.8,Normal cycle,Automatic Termination,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV22N680*H*,DV22N680*H*,4.0,240.0,,Yes,5.8,Normal cycle,Automatic Termination,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50R85***,DVE50R85***,7.5,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE54R76***,DVE54R76***,7.4,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG54R76***,DVG54R76***,7.4,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50T73***,DVE50T73***,7.4,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG45T61***,DVG45T61***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG45A64***,DVG45A64***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45B6305*,DVE45B6305*,7.5,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE53BB89***,DVE53BB89***,7.6,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE53BB87***,DVE53BB87***,7.6,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE46BG65***,DVE46BG65***,7.5,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
SUMMIT,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",LDHP24,LDHP24****,4.2,240.0,,Yes,3.0,Cotton Standard,N/A,Medium,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H16AAI4BB5,WED9290F**,7.4,240.0,,Yes,4.5,Eco/Normal,Medium,Normal,Eco,No,No
Maytag,Vented Gas,A16VBN5AI1,MGDB955F**,9.2,,20179.0,Yes,3.48,Normal / Energy Saver,High,Normal,Energy Saver,No,No
Whirlpool,Vented Gas,A18JAI8AI5,WGD5620H**,7.4,,20142.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18BAI8AI0,WGD7120H**,7.4,,20379.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG0,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG1,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18BBI7AI1,MGD7230H**,7.4,,20412.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG5,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG5,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,Vented Gas,A18JBH7AI5,MGD8630H**,7.3,,20055.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG5,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB4,WHD560CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Maytag,Vented Gas,A18JBH7AI3,MGD8630H**,7.3,,20107.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI3,MGD6630H**,7.3,,20107.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI3,MGD5630H**,7.3,,20107.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18GAI9AG0,WED9620H**,7.4,240.0,,Yes,3.93,REGULAR / NORMAL,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG6,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG6,WED5620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG0,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG6,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG6,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB1,WHD862CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB1,WHD560CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Kenmore,Vented Gas,A20BCI8AI1,7165*20*,7.4,,20193.0,Yes,3.48,Mixed + Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG1,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG4,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG0,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG13,WED8000D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI0,WGD8620H**,7.4,,20234.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI0,WGD6620H**,7.4,,20234.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
