Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50A88**A*,WF50A88**A*,5.0,3.1,2.9,39.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf50a88av-us-energylabel.pdf,WF50A88..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50A86**A*,WF50A86**A*,5.0,3.1,2.9,29.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf50a8600av-us-energylabel.pdf,WF50A86..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45A64**A*,WF45A64**A*,4.5,3.1,2.9,26.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45a6400av-us-energylabel.pdf,WF45A64..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA55A73**A*,WA55A73**A*,5.5,2.06,4.3,36.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa55a7300ae-us-energylabel.pdf,WA55A73..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54A7305A*,WA54A7305A*,5.4,2.06,4.3,37.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa54a7305ae-us-energylabel.pdf,WA54A7305A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52A55**A*,WA52A55**A*,5.2,2.06,4.3,36.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa52a5500ap-us-energylabel.pdf,WA52A55..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA51A5505A*,WA51A5505A*,5.1,2.06,4.3,39.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa51a5505ap-us-energylabel.pdf,WA51A5505A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WW25B69**A*,WW25B69**A*,2.5,2.25,3.7,31.4,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-ww25b6900aw-us-energylabel.pdf,WW25B69..A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF46BG65**A*,WF46BG65**A*,4.6,3.1,2.9,29.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf46bg6500av-us-energylabel.pdf,WF46BG65..A.
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zCG51(3B),3165*20*,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals,3165.20.
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE58(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA864(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA864(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB949(3B),MHW6630H**,4.8,2.76,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB852(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG59(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG55(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ52(3B),WFW8540F*,4.5,2.92,3.2,29.5,No,No,http://www.whirlpool.com/manuals,WFW8540F.
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX52(3B),WFW9290F**,4.2,2.92,3.2,28.9,No,No,http://www.whirlpool.com/manuals,WFW9290F..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA865(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX51(3B),WFW9290F**,4.2,2.92,3.2,28.9,No,No,http://www.whirlpool.com/manuals,WFW9290F..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA752(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gA851(3B),WFW5605M**,4.5,2.76,3.2,28.7,No,No,http://www.whirlpool.com/manuals,WFW5605M..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22GAA851(3B),WFW6605M**,5.0,2.76,3.2,28.4,No,No,http://www.whirlpool.com/manuals,WFW6605M..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA753(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Amana,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vD745(3B),NFW5800H**,4.3,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,NFW5800H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAX45(3B),WFW7590F**,4.2,2.92,3.2,29.1,No,No,http://www.whirlpool.com/manuals,WFW7590F..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA55(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals,MHW8630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA51(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals,MHW8630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA52(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals,MHW8630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vBA54(3B),MHW8630H**,5.0,2.76,3.2,27.0,No,No,http://www.whirlpool.com/manuals,MHW8630H..
Inglis,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vM741(3B),IFW5900H**,4.3,2.76,3.2,28.0,No,No,http://www.whirlpool.com/manuals,IFW5900H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22hAg60(3B),WFW4090N**,2.0,2.07,4.2,32.0,No,No,http://www.whirlpool.com/manuals,WFW4090N..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAZ410(3B),WFW7540F**,4.5,2.92,3.2,29.3,No,No,http://www.whirlpool.com/manuals,WFW7540F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",H21bA850(3B),WFC682CL**,4.5,2.76,3.2,29.2,No,No,http://www.whirlpool.com/manuals,WFC682CL..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK515(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK514(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H19bAk60(3B),WFW3090J**,2.0,2.07,4.2,28.6,No,No,http://www.whirlpool.com/manuals,WFW3090J..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA740(3B),WFW560CH**,4.3,2.92,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA743(3B),WFW560CH**,4.3,2.92,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA850(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA851(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA851(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA852(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA853(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA853(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM514(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM514(3B),WTW7300D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7300D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM55(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM56(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM58(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM510(3B),2713*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide,2713.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM59(3B),2613*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide,2613.41+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK515(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK514(3B),WTW8040D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8040D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK514(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK516(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA854(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA854(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB844(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA744(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK516(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA855(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM512(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7000D.+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK56(3B),2813*41+,5.3,2.06,4.3,36.3,No,No,http://www.kenmore.com/energyguide,2813.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK56(3B),2913*41+,5.3,2.06,4.3,36.3,No,No,http://www.kenmore.com/energyguide,2913.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V15ECg55(3B),3163*61*,6.2,2.06,4.3,35.0,No,No,http://www.kenmore.com/energyguide,3163.61.
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK517(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA745(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK517(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK517(3B),MVWB855D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB855D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK511(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK518(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK518(3B),WTW8040D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8040D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK512(3B),WTW8040D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8040D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM516(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM516(3B),WTW7040D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7040D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM516(3B),WTW7300D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7300D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA856(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB846(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE51(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG51(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG51(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Amana,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vD741(3B),NFW5800H**,4.3,2.92,3.2,27.5,No,No,http://www.whirlpool.com/manuals,NFW5800H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA857(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V198AG50(3B),WTW8120H**,5.3,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8120H..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zCE50(3B),2165*20*,5.2,2.06,4.3,34.5,No,No,http://www.whirlpool.com/manuals,2165.20.
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zCG50(3B),3165*20*,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals,3165.20.
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB943(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB942(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB843(3B),MHW5630H**,4.5,2.92,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB840(3B),MHW5630H**,4.5,2.92,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE54(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA860(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG52(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16bAk32(3B),WFW3090G**,2.0,2.38,3.7,28.9,No,No,http://www.whirlpool.com/manuals,WFW3090G..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16bAk31(3B),WFW3090G**,2.0,2.38,3.7,28.9,No,No,http://www.whirlpool.com/manuals,WFW3090G..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA858(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM513(3B),2613*41+,4.8,2.06,4.3,36.0,No,No,http://www.whirlpool.com/manuals,2613.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK57(3B),2813*41+,5.3,2.06,4.3,36.3,No,No,http://www.whirlpool.com/manuals,2813.41+
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB946(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG52(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA861(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe51(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA859(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE56(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG53(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA748(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA862(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG53(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe52(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB947(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA750(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
